step,class 1,class 2,class 3,class 4,class 5
1,53468.40,56055.95,58647.38,61238.80,63832.15
2,56055.95,58640.80,61238.80,63832.15,66419.71
3,58647.38,61238.80,63832.15,66419.71,69011.13
4,61238.80,63832.15,66419.71,69011.13,71600.62
5,61238.80,66419.71,69011.13,71600.62,74192.04
6,61238.80,69011.13,71600.62,74192.04,76783.47
7,61238.80,71600.62,74192.04,76783.47,79378.76
8,61238.80,74192.04,76783.47,79378.76,81964.38
9,61238.80,74192.04,79378.76,81964.38,84557.73
10,61238.80,74192.04,81964.38,84557.73,87147.22
11,61238.80,74192.04,81964.38,87147.22,89742.51
12,61238.80,74192.04,81964.38,89742.51,92333.94
13,61238.80,74192.04,81964.38,89742.51,94923.42
14,61238.80,74192.04,81964.38,89742.51,98479.86
15,61238.80,74192.04,81964.38,89742.51,98479.86
16,61238.80,74192.04,81964.38,92333.93,98479.86
17,61238.80,74192.04,81964.38,92333.93,98479.86
18,61238.80,74192.04,81964.38,92333.93,101138.97
19,61238.80,74192.04,81964.38,92333.93,101138.97
20,61238.80,74192.04,81964.38,94923.42,103730.39
21,61238.80,74192.04,81964.38,94923.42,103730.39
22,61238.80,74192.04,81964.38,94923.42,103730.39
23,61238.80,74192.04,81964.38,94923.42,103730.39
24,61238.80,74192.04,81964.38,94923.42,103730.39
25,61238.80,74192.04,81964.38,94923.42,103730.39
26,61238.80,74192.04,81964.38,94923.42,103730.39
27,61238.80,74192.04,81964.38,94923.42,103730.39
28,61238.80,74192.04,81964.38,94923.42,103730.39
29,61238.80,74192.04,81964.38,94923.42,103730.39
30,61238.80,74192.04,81964.38,94923.42,108946.12
31,61238.80,74192.04,81964.38,94923.42,108946.12
32,61238.80,74192.04,81964.38,94923.42,108946.12
33,61238.80,74192.04,81964.38,94923.42,108946.12
34,61238.80,74192.04,81964.38,94923.42,108946.12
35,61238.80,74192.04,81964.38,94923.42,108946.12
36,61238.80,74192.04,81964.38,94923.42,108946.12
