step,class 1,class 2,class 3,class 4,class 5
1,59869,60706,61663,63455,67484
2,59869,60706,61663,63455,67484
3,61372,62888,65096,69362,73426
4,61372,62888,65096,69362,73426
5,62732,66890,71049,75201,79350
6,62732,66890,71049,75201,79350
7,68674,72837,76976,81134,85287
8,68674,72837,76976,81134,85287
9,74614,78760,82921,88653,92821
10,74614,78760,82921,88653,92821
11,74614,78760,82921,94817,99277
12,77613,81926,86254,98629,103268
13,77613,81926,86254,98629,103268
14,77613,81926,86254,98629,103268
15,78718,83092,87482,100032,104737
16,78718,83092,87482,100032,104737
17,78718,83092,87482,100032,104737
18,79837,84273,88725,101454,106226
19,79837,84273,88725,101454,106226
20,79837,84273,88725,101454,106226
21,80956,85455,89969,102876,107716
22,80956,85455,89969,102876,107716
23,80956,85455,89969,102876,107716
24,82075,86636,91213,104299,109205
25,82075,86636,91213,104299,109205
26,82075,86636,91213,104299,109205
27,83195,87817,92457,105721,110694
28,83195,87817,92457,105721,110694
29,83195,87817,92457,105721,110694
30,84314,88999,93701,107143,112183
31,84314,88999,93701,107143,112183
32,84314,88999,93701,107143,112183
33,84314,88999,93701,107143,112183
34,84314,88999,93701,107143,112183
35,84314,88999,93701,107143,112183
36,84314,88999,93701,107143,112183
