step,class 1,class 2,class 3,class 4,class 5,class 6
1,56887,56887,60006,60007,61343,63798
2,56887,56887,60007,60726,64477,67055
3,56887,56887,60009,63567,67597,70303
4,56887,59360,62650,66409,70736,73563
5,58864,61825,65304,69259,73877,76832
6,61204,64305,67968,72102,77001,80080
7,63567,66783,70636,74942,80137,83341
8,66248,69259,73298,77778,83276,86607
9,66248,71722,75952,80642,86417,89875
10,66248,71722,78609,83480,89546,93127
11,66248,71722,78609,86314,92660,96365
12,66248,71722,78609,89169,95796,99626
13,66248,71722,78609,89169,98940,102898
14,66248,71722,78609,89169,98940,102898
15,66248,71722,78609,89169,98940,102898
16,66248,71722,78609,89169,98940,102898
17,66248,71722,80965,91583,101786,105858
18,66248,71722,80965,91583,101786,105858
19,66248,71722,83319,93878,104158,108323
20,66248,71722,83319,93878,104158,108323
21,66248,71722,83319,93878,104158,108323
22,66248,71722,85671,96233,106520,110780
23,66248,71722,85671,96233,106520,110780
24,66248,71722,85671,96233,106520,110780
25,66248,71722,90380,100946,111253,115704
26,66248,71722,90380,100946,111253,115704
27,66248,71722,90380,100946,111253,115704
28,66248,71722,90380,100946,111253,115704
29,66248,71722,90380,100946,111253,115704
30,66248,71722,90380,100946,111253,115704
31,66248,71722,90380,100946,111253,115704
32,66248,71722,90380,100946,111253,115704
33,66248,71722,90380,100946,111253,115704
34,66248,71722,90380,100946,111253,115704
35,66248,71722,90380,100946,111253,115704
36,66248,71722,90380,100946,111253,115704
