step,class 1,class 2,class 3,class 4,class 5
1,64531 ,65433 ,66465 ,68396 ,72739 
2,64531 ,65433 ,66465 ,68396 ,72739 
3,66151 ,67786 ,70165 ,74764 ,79143 
4,66151 ,67786 ,70165 ,74764 ,79143 
5,67617 ,72099 ,76582 ,81057 ,85529 
6,67617 ,72099 ,76582 ,81057 ,85529 
7,74021 ,78509 ,82970 ,87452 ,91929 
8,74021 ,78509 ,82970 ,87452 ,91929 
9,80425 ,84893 ,89378 ,95556 ,100049 
10,80425 ,84893 ,89378 ,95556 ,100049 
11,80425 ,84893 ,89378 ,102201 ,107008 
12,80425 ,84893 ,89378 ,106391 ,111310 
13,83642,88289,92953,110647,115762
14,83642,88289,92953,110647,115762
15,84848,89562,94294,112243,117432
16,84848,89562,94294,112243,117432
17,84848,89562,94294,112243,117432
18,86055,89562,94294,112243,117432
19,86055,89562,94294,112243,117432
20,86055,89562,94294,112243,117432
21,87261,92109,96975,115434,120771
22,87261,92109,96975,115434,120771
23,87261,92109,96975,115434,120771
24,88468,93382,98316,117030,122441
25,88468,93382,98316,117030,122441
26,88468,93382,98316,117030,122441
27,89674,94656,99656,118626,124111
28,89674,94656,99656,118626,124111
29,89674,94656,99656,118626,124111
30,90880,95929,100997,120222,125780
31,90880,95929,100997,120222,125780
32,90880,95929,100997,120222,125780
33,92087,97202,102338,121818,127450
34,92087,97202,102338,121818,127450
35,92087,97202,102338,121818,127450
36,93293,98476,103678,123414,129120
