step,class 1,class 2,class 3,class 4,class 5
1,52270,53243,54223,55205,58270
2,53115,54105,55094,57817,61453
3,53445,54432,55424,60419,64060
4,53445,54870,59534,63167,66790
5,53445,55202,62133,65775,69397
6,53445,55202,64746,68381,72011
7,53445,55202,67363,70987,74617
8,53445,55202,69969,73600,77234
9,53445,55202,72796,76435,80085
10,53445,55202,75411,79040,82696
11,53445,55202,78019,81672,85298
12,53445,55202,81039,84692,88364
13,53445,55202,81564,85217,88889
14,53445,55202,82089,85742,89414
15,53445,55202,82614,86267,89939
16,53445,55202,83139,86792,90464
17,53445,55202,83664,87317,90989
18,53445,55202,84189,87842,91514
19,53445,55202,84714,88367,92039
20,53445,55202,85314,88967,92639
21,53445,55202,85914,89567,93239
22,53445,55202,86514,90167,93839
23,53445,55202,87114,90767,94439
24,53445,55202,87714,91367,95039
25,53445,55202,88314,91967,95639
26,53445,55202,88914,92567,96239
27,53445,55202,89514,93167,96839
28,53445,55202,90114,93767,97439
29,53445,55202,90714,94367,98039
30,53445,55202,91314,94967,98639
31,53445,55202,91914,95567,99239
32,53445,55202,92514,96167,99839
33,53445,55202,93114,96767,100439
34,53445,55202,93114,96767,100439
35,53445,55202,93114,96767,100439
36,53445,55202,93114,96767,100439
