step,class 1,class 2,class 3,class 4,class 5
1,54404,57665,58232,60574,65083
2,54404,58232,59045,62760,67433
3,54404,59045,59972,64635,69227
4,54404,59972,61800,66420,70938
5,54404,60748,65430,70104,74656
6,54404,64338,69073,73782,78385
7,55645,67924,72711,77467,82106
8,58546,71514,76356,81149,85832
9,61424,75119,79985,84828,89568
10,61424,78703,83628,88514,93288
11,61424,82288,87265,92180,97018
12,61424,82288,87265,95865,100740
13,61424,82288,87265,99540,104476
14,61424,82288,87265,99540,108199
15,61424,82288,87265,99540,108199
16,61424,82288,87265,99540,108199
17,61424,82288,87265,99540,108199
18,61424,82288,87265,99540,108199
19,61424,83319,88295,100569,109229
20,61424,83319,88295,100569,109229
21,61424,83319,88295,100569,109229
22,61424,83319,88295,100569,109229
23,61424,83319,88295,100569,109229
24,61424,84349,89326,101599,110258
25,61424,84349,89326,101599,110258
26,61424,84349,89326,101599,110258
27,61424,84349,89326,101599,110258
28,61424,84349,89326,101599,110258
29,61424,85379,90356,102630,112076
30,61424,85379,90356,102630,112076
31,61424,85379,90356,102630,112076
32,61424,85379,90356,102630,112076
33,61424,85379,90356,102630,112076
34,61424,85379,90356,102630,112076
35,61424,85379,90356,102630,112076
36,61424,85379,90356,102630,112076
