step,class 1,class 2,class 3,class 4,class 5
1,72600.00,72600.00,72600.00,72606.00,75776.00
2,72601.00,72601.00,72601.00,74536.00,80009.00
3,72602.00,72602.00,72602.00,78150.00,84253.00
4,72603.00,72603.00,75545.00,81781.00,88467.00
5,72604.00,72769.00,78707.00,85406.00,92700.00
6,72605.00,75668.00,81866.00,89014.00,96945.00
7,73687.00,78541.00,85012.00,92635.00,101183.00
8,76584.00,81438.00,88165.00,96251.00,105405.00
9,76584.00,84324.00,91325.00,99865.00,109645.00
10,76584.00,84324.00,94478.00,103489.00,113877.00
11,76584.00,84324.00,94478.00,107115.00,118122.00
12,76584.00,84324.00,94478.00,110732.00,122352.00
13,76584.00,84324.00,94478.00,110732.00,122352.00
14,76584.00,84324.00,94478.00,110732.00,122352.00
15,76584.00,84324.00,94478.00,110732.00,122352.00
16,81478.00,89219.00,99373.00,115626.00,127246.00
17,81478.00,89219.00,99373.00,115626.00,127246.00
18,81478.00,89219.00,99373.00,115626.00,127246.00
19,81478.00,89219.00,99373.00,115626.00,127246.00
20,81478.00,89219.00,99373.00,115626.00,127246.00
21,83925.00,91667.00,101821.00,118073.00,129694.00
22,83925.00,91667.00,101821.00,118073.00,129694.00
23,83925.00,91667.00,101821.00,118073.00,129694.00
24,83925.00,91667.00,101821.00,118073.00,129694.00
25,83925.00,91667.00,101821.00,118073.00,129694.00
26,85149.00,92889.00,103043.00,119296.00,130916.00
27,85149.00,92889.00,103043.00,119296.00,130916.00
28,85149.00,92889.00,103043.00,119296.00,130916.00
29,85149.00,92889.00,103043.00,119296.00,130916.00
30,85149.00,92889.00,103043.00,119296.00,130916.00
31,87596.00,95336.00,105490.00,121743.00,133363.00
32,87596.00,95336.00,105490.00,121743.00,133363.00
33,87596.00,95336.00,105490.00,121743.00,133363.00
34,87596.00,95336.00,105490.00,121743.00,133363.00
35,90043.00,97784.00,107938.00,124191.00,135811.00
36,90043.00,97784.00,107938.00,124191.00,135811.00
