step,class 1,class 2,class 3,class 4,class 5
1,55576,55577,55582,55590,57865
2,55583,55587,55589,57459,60479
3,55591,56640,57052,60049,63203
4,58768,59188,59615,62743,66040
5,61411,61856,62299,65578,69012
6,64169,64634,65087,68524,72128
7,67069,67538,68024,71606,75356
8,70068,70585,71085,74835,78764
9,70068,73760,74285,78192,82311
10,70068,77091,77623,81718,86009
11,70068,77091,81120,85391,89888
12,70068,77091,81120,89226,93925
13,70068,77091,81120,89226,93925
14,70068,77091,81120,89226,93925
15,70068,77091,81120,89226,93925
16,71861,78881,82914,91020,96648
17,71861,78881,82914,91020,96648
18,71861,78881,82914,91020,96648
19,71861,78881,82914,91020,96648
20,71861,78881,82914,91020,96648
21,73656,80673,84709,92813,99371
22,73656,80673,84709,92813,99371
23,73656,80673,84709,92813,99371
24,73656,80673,84709,92813,99371
25,73656,80673,84709,92813,99371
26,75446,82467,86497,94607,102328
27,75446,82467,86497,94607,102328
28,75446,82467,86497,94607,102328
29,75446,82467,86497,94607,102328
30,75446,82467,86497,94607,102328
31,83163,90183,94215,102323,105490
32,83163,90183,94215,102323,105490
33,83163,90183,94215,102323,105490
34,83163,90183,94215,102323,105490
35,83163,90183,94215,102323,105490
36,86327,93346,97377,105486,108652
